CellCenters:0,CellCenters:1,CellCenters:2
2.15,0.5,241.48
2.15,0.5,241.43
2.15,0.5,241.38
2.15,0.5,241.33
2.15,0.5,241.28
2.15,0.5,241.23
2.15,0.5,241.18
2.15,0.5,241.13
2.15,0.5,241.08
2.15,0.5,241.03
2.15,0.5,240.98
2.15,0.5,240.93
2.15,0.5,240.88
2.15,0.5,240.83
2.15,0.5,240.78
2.15,0.5,240.73
2.15,0.5,240.68
2.15,0.5,240.63
2.15,0.5,240.58
2.15,0.5,240.53
2.15,0.5,240.48
2.15,0.5,240.43
2.15,0.5,240.38
2.15,0.5,240.33
2.05,0.5,240.29
2.05,0.5,240.24
2.05,0.5,240.19
2.05,0.5,240.14
2.05,0.5,239.97
2.05,0.5,239.42
2.05,0.5,238.37
2.05,0.5,236.82
2.05,0.5,234.77
2.05,0.5,232.22
2.05,0.5,229.17
2.05,0.5,225.62
2.15,0.5,240.28
2.15,0.5,240.23
2.15,0.5,240.18
2.15,0.5,240.13
2.15,0.5,239.95
2.15,0.5,239.4
2.15,0.5,238.35
2.15,0.5,236.8
2.15,0.5,234.75
2.15,0.5,232.2
2.15,0.5,229.15
2.15,0.5,225.6
2.25,0.5,242.06
2.25,0.5,242.01
2.25,0.5,241.96
2.25,0.5,241.91
2.25,0.5,241.86
2.25,0.5,241.81
2.25,0.5,241.76
2.25,0.5,241.71
2.25,0.5,241.66
2.25,0.5,241.61
2.25,0.5,241.56
2.25,0.5,241.51
2.25,0.5,241.46
2.25,0.5,241.41
2.25,0.5,241.36
2.25,0.5,241.31
2.25,0.5,241.26
2.25,0.5,241.21
2.25,0.5,241.16
2.25,0.5,241.11
2.25,0.5,241.06
2.25,0.5,241.01
2.25,0.5,240.96
2.25,0.5,240.91
2.25,0.5,240.86
2.25,0.5,240.81
2.25,0.5,240.76
2.25,0.5,240.71
2.25,0.5,240.66
2.25,0.5,240.61
2.25,0.5,240.56
2.25,0.5,240.51
2.25,0.5,240.46
2.25,0.5,240.41
2.25,0.5,240.36
2.25,0.5,240.31
2.35,0.5,242.05
2.35,0.5,242
2.35,0.5,241.95
2.35,0.5,241.9
2.35,0.5,241.85
2.35,0.5,241.8
2.35,0.5,241.75
2.35,0.5,241.7
2.35,0.5,241.65
2.35,0.5,241.6
2.35,0.5,241.55
2.35,0.5,241.5
2.35,0.5,241.45
2.35,0.5,241.4
2.35,0.5,241.35
2.35,0.5,241.3
2.35,0.5,241.25
2.35,0.5,241.2
2.35,0.5,241.15
2.35,0.5,241.1
2.35,0.5,241.05
2.35,0.5,241
2.35,0.5,240.95
2.35,0.5,240.9
2.35,0.5,240.85
2.35,0.5,240.8
2.35,0.5,240.75
2.35,0.5,240.7
2.35,0.5,240.65
2.35,0.5,240.6
2.35,0.5,240.55
2.35,0.5,240.5
2.35,0.5,240.45
2.35,0.5,240.4
2.35,0.5,240.35
2.35,0.5,240.3
2.25,0.5,240.26
2.25,0.5,240.21
2.25,0.5,240.16
2.25,0.5,240.11
2.25,0.5,239.94
2.25,0.5,239.39
2.25,0.5,238.34
2.25,0.5,236.79
2.25,0.5,234.74
2.25,0.5,232.19
2.25,0.5,229.14
2.25,0.5,225.59
2.35,0.5,240.25
2.35,0.5,240.2
2.35,0.5,240.15
2.35,0.5,240.1
2.35,0.5,239.92
2.35,0.5,239.37
2.35,0.5,238.32
2.35,0.5,236.77
2.35,0.5,234.72
2.35,0.5,232.17
2.35,0.5,229.12
2.35,0.5,225.57
2.45,0.5,242.03
2.45,0.5,241.98
2.45,0.5,241.93
2.45,0.5,241.88
2.45,0.5,241.83
2.45,0.5,241.78
2.45,0.5,241.73
2.45,0.5,241.68
2.45,0.5,241.63
