"Points:0","Points:1","Points:2"
3.25,0.5,233.97128
3.25,0.5,231.92129
3.25,0.5,229.37128
3.25,0.5,226.32128
3.25,0.5,222.77128
3.75,0.5,237.46735
3.75,0.5,237.41734
3.75,0.5,237.36734
3.75,0.5,237.31734
3.75,0.5,237.14235
3.75,0.5,236.59235
3.75,0.5,235.54234
3.75,0.5,233.99234
3.75,0.5,231.94234
3.75,0.5,229.39235
3.75,0.5,226.34235
3.75,0.5,222.79234
4.25,0.5,237.48733
4.25,0.5,237.43733
4.25,0.5,237.38733
4.25,0.5,237.33733
4.25,0.5,237.16233
4.25,0.5,236.61233
4.25,0.5,235.56233
4.25,0.5,234.01233
4.25,0.5,231.96233
4.25,0.5,229.41233
4.25,0.5,226.36233
4.25,0.5,222.81233
4.75,0.5,237.50626
4.75,0.5,237.45626
4.75,0.5,237.40627
4.75,0.5,237.35626
4.75,0.5,237.18126
4.75,0.5,236.63126
4.75,0.5,235.58126
4.75,0.5,234.03127
4.75,0.5,231.98126
4.75,0.5,229.43126
4.75,0.5,226.38126
4.75,0.5,222.83126
5.25,0.5,237.52519
5.25,0.5,237.47519
5.25,0.5,237.42519
5.25,0.5,237.37519
5.25,0.5,237.2002
5.25,0.5,236.65019
5.25,0.5,235.60019
5.25,0.5,234.05019
5.25,0.5,232.00019
5.25,0.5,229.4502
5.25,0.5,226.40019
5.25,0.5,222.85019
5.75,0.5,239.34413
5.75,0.5,239.29413
5.75,0.5,239.24413
5.75,0.5,239.19412
5.75,0.5,239.14412
5.75,0.5,239.09413
5.75,0.5,239.04413
5.75,0.5,238.99413
5.75,0.5,238.94412
5.75,0.5,238.89412
5.75,0.5,238.84413
5.75,0.5,238.79413
5.75,0.5,238.74413
5.75,0.5,238.69412
5.75,0.5,238.64412
5.75,0.5,238.59413
5.75,0.5,238.54413
5.75,0.5,238.49413
5.75,0.5,238.44412
5.75,0.5,238.39412
5.75,0.5,238.34413
5.75,0.5,238.29413
5.75,0.5,238.24413
5.75,0.5,238.19412
5.75,0.5,238.14412
5.75,0.5,238.09413
5.75,0.5,238.04413
5.75,0.5,237.99413
5.75,0.5,237.94412
5.75,0.5,237.89412
5.75,0.5,237.84413
5.75,0.5,237.79413
