# Observation Name: snow to surface [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-throughfall_drainage_snow
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy interception [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-interception
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: canopy-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water equivalent [m]
# Region: surface domain
# Reduction: average
# Variable: snow-water_equivalent
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: incoming shortwave radiation [W m^-2]
# Region: surface domain
# Reduction: average
# Variable: surface-incoming_shortwave_radiation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# =============================================================================
"time [d]","net runoff [mol d^-1]","runoff only [mol d^-1]","runon only [mol d^-1]","river discharge [mol d^-1]","net groundwater flux [mol d^-1]","rain precipitation [m d^-1]","snow precipitation [m d^-1]","surface evaporation [m d^-1]","snow evaporation [m d^-1]","transpiration [m d^-1]","total evapotranspiration [m d^-1]","snowmelt [m d^-1]","exfiltration [mol d^-1]","canopy evaporation [m d^-1]","canopy drainage [m d^-1]","water to surface [m d^-1]","snow to surface [m d^-1]","canopy interception [m d^-1]","surface water content [mol]","snow water content [mol]","canopy water content [mol]","air temperature [K]","snow water equivalent [m]","incoming shortwave radiation [W m^-2]","subsurface water content [mol]"
1.305700000000e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.108467672950e+12,1.640215759690e+09,1.738241497835e+08,2.855141476424e+02,5.559407833571e-04,1.871874529700e+02,1.596473280857e+13
1.305800000000e+04,6.896374901785e+09,6.896374901785e+09,0.000000000000e+00,1.259122386019e+09,-2.117052479657e+09,1.280377444252e-03,0.000000000000e+00,6.018529564463e-04,0.000000000000e+00,2.931385033661e-04,9.999435590954e-04,3.593753758152e-04,-2.515747432998e+06,1.049520992830e-04,9.317825059966e-06,1.191790118598e-03,0.000000000000e+00,9.790515071471e-05,1.102255035679e+12,5.799352897141e+08,1.311091848482e+08,2.823175155915e+02,1.965654075419e-04,1.491544499008e+02,1.596598500195e+13
1.305900000000e+04,3.758263073407e+09,3.758263073407e+09,0.000000000000e+00,6.751646776611e+08,8.935716392661e+08,1.032562455042e-03,0.000000000000e+00,7.142981288690e-04,0.000000000000e+00,2.588194645399e-04,1.069565227750e-03,9.769095153306e-05,-6.355514358769e+05,9.644763434104e-05,8.398502429990e-06,9.659452707432e-04,0.000000000000e+00,7.501568672889e-05,1.100421013376e+12,2.917135166755e+08,4.465782465024e+07,2.802140762272e+02,9.887445600883e-05,1.845118591562e+02,1.596432782422e+13
1.306000000000e+04,2.662616895868e+09,2.662616895868e+09,0.000000000000e+00,4.708822260346e+08,3.120592798092e+09,0.000000000000e+00,0.000000000000e+00,3.790875542261e-04,0.000000000000e+00,2.597089735505e-04,6.460031648790e-04,4.633248612715e-05,1.082408684170e+06,7.206637102400e-06,4.225157148914e-07,4.225157148914e-07,0.000000000000e+00,0.000000000000e+00,1.099898493613e+12,1.550168104680e+08,2.226675945789e+07,2.809941940578e+02,5.254196988168e-05,1.723829069992e+02,1.596044100092e+13
1.306100000000e+04,2.498732253034e+09,2.498732253034e+09,0.000000000000e+00,4.423989262082e+08,-3.305400398008e+09,2.497033439977e-03,0.000000000000e+00,2.743931409273e-04,0.000000000000e+00,5.417831045420e-05,3.516745242649e-04,2.308286376814e-05,-4.046125796216e+06,2.310307288340e-05,8.379435905244e-05,2.411580063339e-03,0.000000000000e+00,1.692477356897e-04,1.100467897146e+12,8.691445484898e+07,2.062685372104e+08,2.795332734869e+02,2.945910611353e-05,8.770436701948e+01,1.596358655676e+13
1.306200000000e+04,2.376880850068e+09,2.376880850068e+09,0.000000000000e+00,4.218551090430e+08,-1.844919778418e+09,1.715192062253e-03,0.000000000000e+00,2.319681011823e-04,0.000000000000e+00,3.790899283733e-05,3.380783577077e-04,1.162640872394e-05,-2.693117544214e+06,6.820126368809e-05,7.485221525140e-05,1.664151469446e-03,0.000000000000e+00,1.258928080586e-04,1.100505829912e+12,5.261256625133e+07,1.558534189242e+08,2.801954285189e+02,1.783269738959e-05,1.565384740650e+02,1.596531963202e+13
1.306300000000e+04,2.271600708927e+09,2.271600708927e+09,0.000000000000e+00,3.977091507861e+08,2.498326670707e+09,1.448138453374e-10,0.000000000000e+00,2.223453179266e-04,0.000000000000e+00,2.334782103695e-04,4.905010028418e-04,7.226083232824e-06,7.572271917406e+05,3.467747454570e-05,0.000000000000e+00,1.314751492798e-10,0.000000000000e+00,1.333869605759e-11,1.100097880987e+12,3.129314527319e+07,5.359261348758e+07,2.799998118693e+02,1.060661415677e-05,1.600081064956e+02,1.596213246465e+13
1.306400000000e+04,2.240853325047e+09,2.240853325047e+09,0.000000000000e+00,3.921009119949e+08,2.476648549645e+09,0.000000000000e+00,0.000000000000e+00,1.726885330794e-04,0.000000000000e+00,4.084007144641e-04,5.903945092606e-04,4.878436506957e-06,6.912626507611e+05,9.305261717193e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.099838576586e+12,1.690008637033e+07,2.614963452935e+07,2.811651002302e+02,5.728177649812e-06,1.831112478502e+02,1.595845089366e+13
1.306500000000e+04,2.159016438489e+09,2.159016438489e+09,0.000000000000e+00,3.792298542701e+08,2.321394666445e+09,0.000000000000e+00,0.000000000000e+00,1.106293652970e-04,0.000000000000e+00,4.570438615241e-04,5.700042232255e-04,3.048845190288e-06,5.766773462100e+05,2.330996404462e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.099683555013e+12,7.904948615253e+06,1.927367778408e+07,2.820328926253e+02,2.679332459525e-06,1.732270027726e+02,1.595478106307e+13
1.306600000000e+04,2.054231696934e+09,2.054231696934e+09,0.000000000000e+00,3.602408025426e+08,2.282607776867e+09,0.000000000000e+00,0.000000000000e+00,1.198151877037e-04,0.000000000000e+00,4.669276184466e-04,5.875586897624e-04,1.569375599684e-06,5.539070077618e+05,8.158836121715e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.099563071201e+12,3.274752974755e+06,1.686755358769e+07,2.830731006471e+02,1.109956859840e-06,1.815592685750e+02,1.595112085919e+13
1.306700000000e+04,1.972370308040e+09,1.972370308040e+09,0.000000000000e+00,3.453597941054e+08,2.437070433992e+09,0.000000000000e+00,0.000000000000e+00,2.343797986408e-04,0.000000000000e+00,4.395426048377e-04,6.743206831184e-04,6.432517727661e-07,6.707287198746e+05,3.982796399340e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.099338173986e+12,1.376939886159e+06,1.569286787806e+07,2.823855165473e+02,4.667050870744e-07,1.624317282504e+02,1.594738698766e+13
1.306800000000e+04,1.906692828922e+09,1.906692828922e+09,0.000000000000e+00,3.331441614232e+08,2.482108544472e+09,0.000000000000e+00,0.000000000000e+00,2.842521725273e-04,0.000000000000e+00,4.793915109725e-04,7.640089975025e-04,2.659009210029e-07,7.118531685118e+05,3.653140027562e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.099075758575e+12,5.924410794489e+05,1.461543759227e+07,2.824240144361e+02,2.008041660714e-07,1.817790337488e+02,1.594349051014e+13
1.306900000000e+04,1.879968511362e+09,1.879968511362e+09,0.000000000000e+00,3.281830677398e+08,2.394423318292e+09,0.000000000000e+00,0.000000000000e+00,2.679771844669e-04,0.000000000000e+00,4.654291866621e-04,7.335595743440e-04,1.135806581540e-07,6.611042849142e+05,1.532032150994e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.098799910837e+12,2.540543946080e+05,1.416346991059e+07,2.822298708216e+02,8.611013418159e-08,1.797212591159e+02,1.593972291112e+13
1.307000000000e+04,1.866705281581e+09,1.866705281581e+09,0.000000000000e+00,3.259538755494e+08,2.364449037223e+09,0.000000000000e+00,0.000000000000e+00,2.549299170326e-04,0.000000000000e+00,3.800144660185e-04,6.349696929348e-04,4.792044068426e-08,6.513877241715e+05,2.530988371929e-08,2.108620871179e-07,2.108620871179e-07,0.000000000000e+00,0.000000000000e+00,1.098546291448e+12,1.047886565152e+05,1.346664170578e+07,2.824692552546e+02,3.551745399703e-08,1.832733383790e+02,1.593623728918e+13
1.307100000000e+04,1.855913570383e+09,1.855913570383e+09,0.000000000000e+00,3.242663465919e+08,2.365235984637e+09,0.000000000000e+00,0.000000000000e+00,2.709476196457e-04,0.000000000000e+00,2.931247615787e-04,5.640736490187e-04,1.949001497616e-08,6.608886655063e+05,1.267794200853e-09,4.405393003437e-07,4.405393003437e-07,0.000000000000e+00,0.000000000000e+00,1.098257586065e+12,4.168542878914e+04,1.216316168406e+07,2.821809585022e+02,1.412901308788e-08,1.780148237415e+02,1.593300723479e+13
1.307200000000e+04,1.834872899061e+09,1.834872899061e+09,0.000000000000e+00,3.204612432833e+08,2.422941872956e+09,0.000000000000e+00,0.000000000000e+00,3.059404936237e-04,0.000000000000e+00,1.958992107366e-04,5.018397929663e-04,7.228299016772e-09,7.066978600852e+05,8.860607962639e-11,4.699512477214e-07,4.699512477214e-07,0.000000000000e+00,0.000000000000e+00,1.097944437252e+12,1.836482981647e+04,1.077657902187e+07,2.815866420594e+02,6.224643199574e-09,1.624303028292e+02,1.593000632352e+13
1.307300000000e+04,1.827567434153e+09,1.827567434153e+09,0.000000000000e+00,3.192288303588e+08,2.399040239281e+09,0.000000000000e+00,0.000000000000e+00,2.987749171021e-04,0.000000000000e+00,1.170884312534e-04,4.158634075018e-04,2.288516966478e-09,6.962797844788e+05,5.914631911364e-11,9.649576487034e-10,9.649576487034e-10,0.000000000000e+00,0.000000000000e+00,1.097634424356e+12,6.886092069413e+03,1.077408896795e+07,2.803943897346e+02,2.333997461445e-09,1.278728801696e+02,1.592726183231e+13
1.307400000000e+04,1.911999116102e+09,1.911999116102e+09,0.000000000000e+00,3.344577233112e+08,-1.749101150609e+09,1.657325488425e-03,0.000000000000e+00,2.318477370825e-04,0.000000000000e+00,2.998872646907e-05,2.697738178319e-04,6.835067258728e-10,-2.650550826728e+06,7.937354280317e-06,4.031181902835e-05,1.575925490697e-03,0.000000000000e+00,1.217118167560e-04,1.097938819273e+12,1.849036382686e+03,2.275113591856e+08,2.794372779726e+02,6.267192160382e-10,6.598464846808e+01,1.592892245646e+13
1.307500000000e+04,2.231505648850e+09,2.231505648850e+09,0.000000000000e+00,3.947262199630e+08,-1.351110697195e+10,6.192784460577e-03,0.000000000000e+00,2.269253438731e-04,0.000000000000e+00,0.000000000000e+00,2.293083248491e-04,3.035780666534e-11,-1.215747459004e+07,2.382980976047e-06,4.853726884201e-04,6.174166955381e-03,0.000000000000e+00,5.039901936166e-04,1.099742598914e+12,0.000000000000e+00,2.754059886932e+08,2.779293538209e+02,0.000000000000e+00,6.129200803297e+01,1.594243356339e+13
1.307600000000e+04,2.326786031972e+09,2.326786031972e+09,0.000000000000e+00,4.144339717155e+08,-1.260409493905e+10,5.947338145295e-03,0.000000000000e+00,1.614213136370e-04,0.000000000000e+00,0.000000000000e+00,1.727574937887e-04,0.000000000000e+00,-1.146329160877e+07,1.133618015165e-05,5.074319356414e-04,5.928653308875e-03,0.000000000000e+00,5.261167720616e-04,1.101827022202e+12,0.000000000000e+00,2.970831577888e+08,2.782847402926e+02,0.000000000000e+00,8.336944101873e+01,1.595503765831e+13
1.307700000000e+04,2.433969910354e+09,2.433969910354e+09,0.000000000000e+00,4.154800648964e+08,-1.333626883152e+10,6.421433629574e-03,0.000000000000e+00,2.024797140747e-04,0.000000000000e+00,0.000000000000e+00,2.112689572024e-04,0.000000000000e+00,-1.185835809275e+07,8.789243127690e-06,5.597170138196e-04,6.421712825314e-03,0.000000000000e+00,5.594378180800e-04,1.104405647377e+12,0.000000000000e+00,2.703211789834e+08,2.770045671268e+02,0.000000000000e+00,6.173626837080e+01,1.596837392709e+13
1.307800000000e+04,5.811003555776e+09,5.811003555776e+09,0.000000000000e+00,9.422281415155e+08,-2.221179603108e+10,1.249651245696e-02,0.000000000000e+00,4.394828911480e-04,0.000000000000e+00,0.000000000000e+00,4.395021453236e-04,0.000000000000e+00,-1.950899500613e+07,1.925417552832e-08,9.818528157012e-04,1.250425692195e-02,0.000000000000e+00,9.741083507135e-04,1.111978061211e+12,0.000000000000e+00,2.474154020149e+08,2.744013250085e+02,0.000000000000e+00,3.136327360361e+01,1.599058572311e+13
1.307900000000e+04,1.143002085604e+10,1.143002085604e+10,0.000000000000e+00,1.892572123410e+09,-9.858496436873e+09,6.625167767594e-03,0.000000000000e+00,3.673273508682e-04,0.000000000000e+00,2.316038458636e-08,3.761874344294e-04,0.000000000000e+00,-9.438384194661e+06,8.836923176642e-06,4.752287026959e-04,6.640714593833e-03,3.744093243105e-08,4.596444355246e-04,1.109198182703e+12,1.104635768221e+05,1.754030111717e+08,2.744300179227e+02,3.744093243105e-08,1.174395470317e+02,1.600044415114e+13
1.308000000000e+04,8.198593546604e+09,8.198593546604e+09,0.000000000000e+00,1.446085174062e+09,3.538454924828e+09,0.000000000000e+00,0.000000000000e+00,2.674974554960e-04,0.000000000000e+00,2.019183546167e-05,3.043945868879e-04,0.000000000000e+00,1.479388811276e+06,1.670529593027e-05,7.352500719948e-06,7.218471665211e-06,1.340290547373e-07,0.000000000000e+00,1.103770126873e+12,5.058952027894e+05,1.044382865223e+08,2.743989342506e+02,1.714699872098e-07,1.527072931212e+02,1.599684612329e+13
1.308100000000e+04,4.295619425553e+09,4.295619425553e+09,0.000000000000e+00,7.694590626264e+08,3.130414268010e+09,0.000000000000e+00,0.000000000000e+00,9.646839029749e-05,0.000000000000e+00,2.338057181589e-05,1.230608532347e-04,4.367043089042e-09,1.199162458968e+06,3.211891121328e-06,1.774104090700e-07,1.774104090700e-07,0.000000000000e+00,0.000000000000e+00,1.102320835921e+12,4.930109296576e+05,9.445106960216e+07,2.771009143103e+02,1.671029441207e-07,1.430729465123e+02,1.599364672823e+13
1.308200000000e+04,3.244135997726e+09,3.244135997726e+09,0.000000000000e+00,5.731965354577e+08,-4.247727439436e+07,1.363006438257e-03,3.733295540565e-06,2.718556409445e-04,0.000000000000e+00,7.234292874618e-06,2.822926670315e-04,1.661726313947e-09,-1.407668687455e+06,3.202733212367e-06,5.178742661419e-05,1.344171382644e-03,3.680455659977e-06,7.067532210742e-05,1.102197926320e+12,1.134671327941e+07,1.407331191100e+08,2.748874709048e+02,3.845896877783e-06,1.000393003662e+02,1.599366786187e+13
1.308300000000e+04,3.073985502705e+09,3.073985502705e+09,0.000000000000e+00,5.416439112712e+08,6.962954439055e+08,9.664675705089e-04,2.989810018284e-03,2.276070122142e-04,0.000000000000e+00,2.440083823106e-08,2.348916392253e-04,1.178902378630e-09,-6.552000405320e+05,7.260226172850e-06,1.912444908679e-04,9.629447362734e-04,2.979615476951e-03,2.049618664355e-04,1.101989737998e+12,8.802229619811e+09,1.453510049324e+08,2.714815154166e+02,2.983460194927e-03,1.192408687034e+02,1.599297149444e+13
1.308400000000e+04,2.969657334493e+09,2.969657334493e+09,0.000000000000e+00,5.224472823171e+08,2.261136117177e+09,1.748644883472e-04,1.833510704633e-03,3.214648692647e-05,0.000000000000e+00,2.202754150369e-05,1.002126386838e-04,0.000000000000e+00,5.791932503798e+05,4.603861025363e-05,7.142083753775e-05,1.729015067381e-04,1.802796890649e-03,1.040976331309e-04,1.101696491608e+12,1.412109803185e+10,1.059432175122e+08,2.718478514568e+02,4.786257085576e-03,1.759923473825e+02,1.599064536950e+13
1.308500000000e+04,2.981299034890e+09,2.981299034890e+09,0.000000000000e+00,5.144276454976e+08,-5.441976089987e+09,3.329372028036e-03,0.000000000000e+00,7.384551099092e-06,0.000000000000e+00,2.857887700396e-05,6.056435347403e-05,1.011203248800e-06,-5.926462626928e+06,2.460092537098e-05,1.459890528848e-04,3.284868084732e-03,0.000000000000e+00,1.904929961888e-04,1.102945899325e+12,1.411811463586e+10,1.646637897648e+08,2.749637175399e+02,4.785245882327e-03,1.004571529598e+02,1.599600302813e+13
1.308600000000e+04,3.311551770872e+09,3.311551770872e+09,0.000000000000e+00,5.681847581707e+08,-1.228355779412e+09,1.589018467926e-03,0.000000000000e+00,1.042408117093e-05,0.000000000000e+00,7.344750513339e-06,5.035684403737e-05,2.625290446681e-11,-2.318507272176e+06,3.258801235310e-05,6.525480389368e-05,1.556393604953e-03,0.000000000000e+00,9.787966686688e-05,1.102967132441e+12,1.411811455827e+10,1.647725779758e+08,2.731378150773e+02,4.785245856031e-03,1.177796809665e+02,1.599720971441e+13
1.308700000000e+04,3.430394129225e+09,3.430394129225e+09,0.000000000000e+00,5.982679553690e+08,2.673048958022e+09,0.000000000000e+00,0.000000000000e+00,1.180805855877e-05,0.000000000000e+00,8.122041491707e-05,1.186655162970e-04,7.026079556356e-06,8.733957502759e+05,2.563704282118e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.102195677821e+12,1.409738522575e+10,8.913347207913e+07,2.754418746265e+02,4.778219779555e-03,1.497333403813e+02,1.599429703719e+13
1.308800000000e+04,3.106199886557e+09,3.106199886557e+09,0.000000000000e+00,5.465791638594e+08,1.953497928980e+09,0.000000000000e+00,0.000000000000e+00,5.350693794222e-06,0.000000000000e+00,2.072016012558e-04,2.226357052166e-04,2.859015963413e-04,2.738197246257e+05,1.008341016651e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.101870696845e+12,1.325387757515e+10,5.934668267104e+07,2.762862963923e+02,4.492318183214e-03,1.583418878603e+02,1.599173222355e+13
1.308900000000e+04,2.886334821753e+09,2.886334821753e+09,0.000000000000e+00,5.046278270700e+08,4.844745838321e+08,0.000000000000e+00,0.000000000000e+00,5.141150895819e-06,0.000000000000e+00,1.661964330192e-04,1.732633073991e-04,8.472449870273e-04,-9.482760640326e+05,1.925723484066e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.101953331133e+12,1.075421462247e+10,5.364494939468e+07,2.776858639307e+02,3.645073196186e-03,1.451873673082e+02,1.599075741239e+13
1.309000000000e+04,2.849184007693e+09,2.849184007693e+09,0.000000000000e+00,4.909642004282e+08,-3.383774481516e+09,1.861546644021e-03,0.000000000000e+00,2.957743151007e-05,0.000000000000e+00,4.089764779710e-05,8.168065069030e-05,5.690593686705e-04,-4.178339641421e+06,1.120557138312e-05,6.607643105533e-05,1.814506491239e-03,0.000000000000e+00,1.131165838370e-04,1.102665445423e+12,9.075294542071e+09,1.593667426119e+08,2.764106929484e+02,3.076013827516e-03,1.097541377833e+02,1.599402052482e+13
1.309100000000e+04,3.046230916233e+09,3.046230916233e+09,0.000000000000e+00,5.228798575515e+08,-4.003682885310e+08,1.145567165551e-03,7.850939584454e-03,1.213655624522e-05,0.000000000000e+00,1.105573489229e-07,1.741717897929e-05,3.061635632397e-06,-1.656553227117e+06,5.170065385148e-06,4.626877441804e-04,1.144765884439e-03,7.849916520463e-03,4.645120892836e-04,1.102569523366e+12,3.222620455155e+10,1.483721263392e+08,2.707945169690e+02,1.092286871235e-02,7.606777712710e+01,1.599442056691e+13
1.309200000000e+04,3.181577626472e+09,3.181577626472e+09,0.000000000000e+00,5.558055925986e+08,2.621214768578e+09,0.000000000000e+00,8.499671345358e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.789969747967e-08,0.000000000000e+00,8.309019220948e+05,1.789969747967e-08,3.873137506652e-04,0.000000000000e+00,8.513109377179e-03,3.738757188439e-04,1.102009160562e+12,5.734279355244e+10,1.086725197667e+08,2.695750619983e+02,1.943597808953e-02,6.893606091771e+01,1.599179935215e+13
1.309300000000e+04,2.938301568568e+09,2.938301568568e+09,0.000000000000e+00,5.156688973316e+08,2.650938150198e+09,0.000000000000e+00,5.255109666388e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.332801039649e-08,0.000000000000e+00,8.198921547513e+05,3.332801039649e-08,2.022602984874e-04,0.000000000000e+00,5.256685451468e-03,2.006845134070e-04,1.101721796886e+12,7.285181641845e+10,1.039250858785e+08,2.659198515159e+02,2.469266354099e-02,9.847638155363e+01,1.598914841399e+13
1.309400000000e+04,2.766039938064e+09,2.766039938064e+09,0.000000000000e+00,4.845910707720e+08,2.595963024084e+09,0.000000000000e+00,1.602374878862e-03,0.000000000000e+00,0.000000000000e+00,2.196872961312e-06,1.669499635974e-05,0.000000000000e+00,7.746979011475e+05,1.449812339843e-05,4.952338168477e-05,0.000000000000e+00,1.592547157837e-03,5.935110270933e-05,1.101551720367e+12,7.755037609338e+10,9.014580418884e+07,2.667286734208e+02,2.628521069883e-02,1.658812605810e+02,1.598654596945e+13
1.309500000000e+04,2.644033455814e+09,2.644033455814e+09,0.000000000000e+00,4.627094069133e+08,2.516153155573e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.503419517512e-05,2.050643527896e-05,0.000000000000e+00,7.227337375860e+05,5.472240103832e-06,8.392454319033e-07,0.000000000000e+00,8.392454319033e-07,0.000000000000e+00,1.101423839272e+12,7.755285215491e+10,7.152475985068e+07,2.706033808425e+02,2.628604994426e-02,1.564072311244e+02,1.598398546024e+13
1.309600000000e+04,2.538886974589e+09,2.538886974589e+09,0.000000000000e+00,4.440325651402e+08,2.427960238282e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.661533688344e-05,3.067936371837e-05,0.000000000000e+00,6.677870485250e+05,4.064026834938e-06,6.304625502755e-07,0.000000000000e+00,6.304625502755e-07,0.000000000000e+00,1.101312912565e+12,7.755471223541e+10,5.767441849109e+07,2.712664467870e+02,2.628668040681e-02,1.522985860286e+02,1.598147897567e+13
1.309700000000e+04,2.466056976017e+09,2.466056976017e+09,0.000000000000e+00,4.310827806142e+08,2.374749215370e+09,0.000000000000e+00,3.786360003678e-03,0.000000000000e+00,0.000000000000e+00,4.028699574776e-06,9.478925154835e-06,0.000000000000e+00,6.345609348648e+05,5.450225580059e-06,1.184075841844e-04,0.000000000000e+00,3.764179325017e-03,1.405882628452e-04,1.101221604914e+12,8.866033074015e+10,1.070351821459e+08,2.706859878130e+02,3.005085973183e-02,1.044920748937e+02,1.597909234043e+13
1.309800000000e+04,2.390543465485e+09,2.390543465485e+09,0.000000000000e+00,4.176348363523e+08,2.318536613214e+09,0.000000000000e+00,1.514544001471e-03,0.000000000000e+00,0.000000000000e+00,9.283385329449e-07,1.109052536952e-05,0.000000000000e+00,5.985754478814e+05,1.016218683658e-05,5.098374340234e-05,0.000000000000e+00,1.504060679493e-03,6.146706538077e-05,1.101149598150e+12,9.309782499114e+10,1.079826762962e+08,2.658500038529e+02,3.155492041132e-02,1.326147309722e+02,1.597677106491e+13
1.309900000000e+04,2.340121900698e+09,2.340121900698e+09,0.000000000000e+00,4.086693068122e+08,2.272144314149e+09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.516611088452e-05,4.713163820661e-05,0.000000000000e+00,5.691320193867e+05,1.196552732209e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.101081622309e+12,9.309782499114e+10,7.268027166210e+07,2.673762969457e+02,3.155492041132e-02,1.565536689848e+02,1.597439516856e+13
